Person;Gender;Case;Stereotype;ID
einen typischen Astronauten;0;A;;3
einen typischen Sportler;0;A;;4
einen typischen Bediensteten;0;A;f;5
einen typischen Babysitter;0;A;f;6
einen typischen Bankkaufmann;0;A;;7
einen typischen Makler;0;A;;8
einen typischen Kosmetiker;0;A;f;9
einen typischen Tischler;0;A;;10
einen typischen Kassierer;0;A;f;11
einen typischen Friseur;0;A;f;12
einen typischen Koch;0;A;;13
einen typischen Tänzer;0;A;f;14
einen typischen Zahnarzt;0;A;;15
einen typischen Polizisten;0;A;;16
einen typischen Filmregisseur;0;A;;17
einen typischen Arzt;0;A;m;18
einen typischen Zeitschriftenredakteur;0;A;;19
einen typischen Ingenieur;0;A;m;20
einen typischen Unternehmer;0;A;m;21
einen typischen Feuerwehrmann;0;A;m;22
einen typischen Praktikanten;0;A;;23
einen typischen Erfinder;0;A;;24
einen typischen Hausmeister;0;A;m;25
einen typischen Journalisten;0;A;;26
einen typischen Richter;0;A;;27
einen typischen Anwalt;0;A;m;28
einen typischen Rettungsschwimmer;0;A;;29
einen typischen Manager;0;A;m;30
einen typischen Mechaniker;0;A;m;31
einen typischen Musiker;0;A;;32
einen typischen Krankenpfleger;0;A;f;33
einen typischen Fotograf;0;A;;34
einen typischen Piloten;0;A;m;35
einen typischen Klempner;0;A;m;36
einen typischen Kellner;0;A;f;37
einen typischen Politiker;0;A;;38
einen typischen Professor;0;A;;39
einen typischen Programmierer;0;A;;40
einen typischen Grundschullehrer;0;A;f;41
einen typischen Verkäufer;0;A;f;42
einen typischen Wissenschaftler;0;A;;43
einen typischen Sekretär;0;A;f;44
einen typischen Sänger;0;A;;45
einen typischen Spion;0;A;;46
einen typischen Chirurgen;0;A;m;47
einen typischen Schneider;0;A;;48
einen typischen Lehrer;0;A;;49
einen typischen Techniker;0;A;m;50
einen typischen Schriftsteller;0;A;;51
einen typischen Busfahrer;0;A;m;52
einer typischen Erzieherin;1;D;f;1
einer typischen Putzfrau;1;D;f;2
einer typischen Astronautin;1;D;;3
einer typischen Sportlerin;1;D;;4
einer typischen Bediensteten;1;D;f;5
einer typischen Babysitterin;1;D;f;6
einer typischen Bankkauffrau;1;D;;7
einer typischen Maklerin;1;D;;8
einer typischen Kosmetikerin;1;D;f;9
einer typischen Tischlerin;1;D;;10
einer typischen Kassiererin;1;D;f;11
einer typischen Friseurin;1;D;f;12
einer typischen Köchin;1;D;;13
einer typischen Tänzerin;1;D;f;14
einer typischen Zahnärztin;1;D;;15
einer typischen Polizistin;1;D;;16
einer typischen Filmregisseurin;1;D;;17
einer typischen Ärztin;1;D;m;18
einer typischen Zeitschriftenredakteurin;1;D;;19
einer typischen Ingenieurin;1;D;m;20
einer typischen Unternehmerin;1;D;m;21
einer typischen Feuerwehrfrau;1;D;m;22
einer typischen Praktikantin;1;D;;23
einer typischen Erfinderin;1;D;;24
einer typischen Hausmeisterin;1;D;m;25
einer typischen Journalistin;1;D;;26
einer typischen Richterin;1;D;;27
einer typischen Anwältin;1;D;m;28
einer typischen Rettungsschwimmerin;1;D;;29
einer typischen Managerin;1;D;m;30
einer typischen Mechanikerin;1;D;m;31
einer typischen Musikerin;1;D;;32
einer typischen Krankenpflegerin;1;D;f;33
einer typischen Fotografin;1;D;;34
einer typischen Pilotin;1;D;m;35
einer typischen Klempnerin;1;D;m;36
einer typischen Kellnerin;1;D;f;37
einer typischen Politikerin;1;D;;38
einer typischen Professorin;1;D;;39
einer typischen Programmiererin;1;D;;40
einer typischen Grundschullehrerin;1;D;f;41
einer typischen Verkäuferin;1;D;f;42
einer typischen Wissenschaftlerin;1;D;;43
einer typischen Sekretärin;1;D;f;44
einer typischen Sängerin;1;D;;45
einer typischen Spionin;1;D;;46
einer typischen Chirurgin;1;D;m;47
einer typischen Schneiderin;1;D;;48
einer typischen Lehrerin;1;D;;49
einer typischen Technikerin;1;D;m;50
einer typischen Schriftstellerin;1;D;;51
einer typischen Busfahrerin;1;D;m;52
einem typischen Erzieher;0;D;f;1
einem typischen Putzmann;0;D;f;2
einem typischen Astronauten;0;D;;3
einem typischen Sportler;0;D;;4
einem typischen Bediensteten;0;D;f;5
einem typischen Babysitter;0;D;f;6
einem typischen Bankkaufmann;0;D;;7
einem typischen Makler;0;D;;8
einem typischen Kosmetiker;0;D;f;9
einem typischen Tischler;0;D;;10
einem typischen Kassierer;0;D;f;11
einem typischen Friseur;0;D;f;12
einem typischen Koch;0;D;;13
einem typischen Tänzer;0;D;f;14
einem typischen Zahnarzt;0;D;;15
einem typischen Polizisten;0;D;;16
einem typischen Filmregisseur;0;D;;17
einem typischen Arzt;0;D;m;18
einem typischen Zeitschriftenredakteur;0;D;;19
einem typischen Ingenieur;0;D;m;20
einem typischen Unternehmer;0;D;m;21
einem typischen Feuerwehrmann;0;D;m;22
einem typischen Praktikanten;0;D;;23
einem typischen Erfinder;0;D;;24
einem typischen Hausmeister;0;D;m;25
einem typischen Journalisten;0;D;;26
einem typischen Richter;0;D;;27
einem typischen Anwalt;0;D;m;28
einem typischen Rettungsschwimmer;0;D;;29
einem typischen Manager;0;D;m;30
einem typischen Mechaniker;0;D;m;31
einem typischen Musiker;0;D;;32
einem typischen Krankenpfleger;0;D;f;33
einem typischen Fotograf;0;D;;34
einem typischen Piloten;0;D;m;35
einem typischen Klempner;0;D;m;36
einem typischen Kellner;0;D;f;37
einem typischen Politiker;0;D;;38
einem typischen Professor;0;D;;39
einem typischen Programmierer;0;D;;40
einem typischen Grundschullehrer;0;D;f;41
einem typischen Verkäufer;0;D;f;42
einem typischen Wissenschaftler;0;D;;43
einem typischen Sekretär;0;D;f;44
einem typischen Sänger;0;D;;45
einem typischen Spion;0;D;;46
einem typischen Chirurgen;0;D;m;47
einem typischen Schneider;0;D;;48
einem typischen Lehrer;0;D;;49
einem typischen Techniker;0;D;m;50
einem typischen Schriftsteller;0;D;;51
einem typischen Busfahrer;0;D;m;52
