Person;Gender;Case;Stereotype;ID
einer fiktiven Filmregisseurin;1;D;;17
einer fiktiven Ärztin;1;D;m;18
einer fiktiven Zeitschriftenredakteurin;1;D;;19
einer fiktiven Ingenieurin;1;D;m;20
einer fiktiven Unternehmerin;1;D;m;21
einer fiktiven Feuerwehrfrau;1;D;m;22
einer fiktiven Praktikantin;1;D;;23
einer fiktiven Erfinderin;1;D;;24
einer fiktiven Hausmeisterin;1;D;m;25
einer fiktiven Journalistin;1;D;;26
einer fiktiven Richterin;1;D;;27
einer fiktiven Anwältin;1;D;m;28
einer fiktiven Rettungsschwimmerin;1;D;;29
einer fiktiven Managerin;1;D;m;30
einer fiktiven Mechanikerin;1;D;m;31
einer fiktiven Musikerin;1;D;;32
einer fiktiven Krankenpflegerin;1;D;f;33
einer fiktiven Fotografin;1;D;;34
einer fiktiven Pilotin;1;D;m;35
einer fiktiven Klempnerin;1;D;m;36
einer fiktiven Kellnerin;1;D;f;37
einer fiktiven Politikerin;1;D;;38
einer fiktiven Professorin;1;D;;39
einer fiktiven Programmiererin;1;D;;40
einer fiktiven Grundschullehrerin;1;D;f;41
einer fiktiven Verkäuferin;1;D;f;42
einer fiktiven Wissenschaftlerin;1;D;;43
einer fiktiven Sekretärin;1;D;f;44
einer fiktiven Sängerin;1;D;;45
einer fiktiven Spionin;1;D;;46
einer fiktiven Chirurgin;1;D;m;47
einer fiktiven Schneiderin;1;D;;48
einer fiktiven Lehrerin;1;D;;49
einer fiktiven Technikerin;1;D;m;50
einer fiktiven Schriftstellerin;1;D;;51
einer fiktiven Busfahrerin;1;D;m;52
einem fiktiven Erzieher;0;D;f;1
einem fiktiven Putzmann;0;D;f;2
einem fiktiven Astronauten;0;D;;3
einem fiktiven Sportler;0;D;;4
einem fiktiven Bediensteten;0;D;f;5
einem fiktiven Babysitter;0;D;f;6
einem fiktiven Bankkaufmann;0;D;;7
einem fiktiven Makler;0;D;;8
einem fiktiven Kosmetiker;0;D;f;9
einem fiktiven Tischler;0;D;;10
einem fiktiven Kassierer;0;D;f;11
einem fiktiven Friseur;0;D;f;12
einem fiktiven Koch;0;D;;13
einem fiktiven Tänzer;0;D;f;14
einem fiktiven Zahnarzt;0;D;;15
einem fiktiven Polizisten;0;D;;16
einem fiktiven Filmregisseur;0;D;;17
einem fiktiven Arzt;0;D;m;18
einem fiktiven Zeitschriftenredakteur;0;D;;19
einem fiktiven Ingenieur;0;D;m;20
einem fiktiven Unternehmer;0;D;m;21
einem fiktiven Feuerwehrmann;0;D;m;22
einem fiktiven Praktikanten;0;D;;23
einem fiktiven Erfinder;0;D;;24
einem fiktiven Hausmeister;0;D;m;25
einem fiktiven Journalisten;0;D;;26
einem fiktiven Richter;0;D;;27
einem fiktiven Anwalt;0;D;m;28
einem fiktiven Rettungsschwimmer;0;D;;29
einem fiktiven Manager;0;D;m;30
einem fiktiven Mechaniker;0;D;m;31
einem fiktiven Musiker;0;D;;32
einem fiktiven Krankenpfleger;0;D;f;33
einem fiktiven Fotograf;0;D;;34
einem fiktiven Piloten;0;D;m;35
einem fiktiven Klempner;0;D;m;36
einem fiktiven Kellner;0;D;f;37
einem fiktiven Politiker;0;D;;38
einem fiktiven Professor;0;D;;39
einem fiktiven Programmierer;0;D;;40
einem fiktiven Grundschullehrer;0;D;f;41
einem fiktiven Verkäufer;0;D;f;42
einem fiktiven Wissenschaftler;0;D;;43
einem fiktiven Sekretär;0;D;f;44
einem fiktiven Sänger;0;D;;45
einem fiktiven Spion;0;D;;46
einem fiktiven Chirurgen;0;D;m;47
einem fiktiven Schneider;0;D;;48
einem fiktiven Lehrer;0;D;;49
einem fiktiven Techniker;0;D;m;50
einem fiktiven Schriftsteller;0;D;;51
einem fiktiven Busfahrer;0;D;m;52
